rank,word,lemma,occurrences_ppm
196,sola,sola,586.0561646118857
197,jaja,jaja,575.3028404905666
198,now,now,575.3028404905666
199,loca,loca,575.3028404905666
200,culo,culo,569.9261784299072
201,gente,gente,569.9261784299072
202,sea,sea,569.9261784299072
203,corazón,corazón,564.5495163692476
204,sabe,sabe,564.5495163692476
205,know,know,564.5495163692476
206,meto,meto,564.5495163692476
207,music,music,559.1728543085881
208,encima,encima,548.4195301872692
209,mío,mío,548.4195301872692
210,sol,sol,548.4195301872692
211,igual,igual,543.0428681266096
212,van,van,543.0428681266096
213,perreo,perreo,543.0428681266096
214,mm,mm,543.0428681266096
215,to'a,to'a,537.6662060659502
216,still,still,537.6662060659502
217,veo,veo,526.9128819446311
218,ja,ja,526.9128819446311
219,fuego,fuego,526.9128819446311
220,donde,donde,521.5362198839716
221,mucho,mucho,516.1595578233122
222,krippy,krippy,516.1595578233122
223,bebiendo,bebiendo,516.1595578233122
224,da,da,510.78289576265263
225,dar,dar,510.78289576265263
226,algo,algo,510.78289576265263
227,disco,disco,505.40623370199313
228,tienen,tienen,505.40623370199313
229,tienes,tienes,505.40623370199313
230,par,par,505.40623370199313
231,uno,uno,500.0295716413336
232,sigo,sigo,500.0295716413336
233,right,right,500.0295716413336
234,give,give,489.27624752001464
235,ustede',ustede',489.27624752001464
236,bicho,bicho,478.52292339869564
237,dé,dé,478.52292339869564
238,novio,novio,473.14626133803614
239,real,real,473.14626133803614
240,doy,doy,467.76959927737664
241,woh,woh,467.76959927737664
242,one,one,467.76959927737664
243,arriba,arriba,467.76959927737664
244,vece',vece',457.01627515605765
245,said,said,451.6396130953981
246,lean,lean,451.6396130953981
247,woah,woah,446.2629510347386
248,gustan,gustan,446.2629510347386
249,estamos,estamos,446.2629510347386
250,jeje,jeje,446.2629510347386
251,fui,fui,446.2629510347386
252,baila,baila,440.88628897407915
253,vamos,vamos,435.5096269134196
254,sale,sale,435.5096269134196
255,era,era,435.5096269134196
256,estamo',estamo',435.5096269134196
257,'tá,'tá,430.1329648527601
258,vivo,vivo,430.1329648527601
259,diablo,diablo,430.1329648527601
260,your,your,424.7563027921006
261,ve,ve,424.7563027921006
262,we,we,419.3796407314411
263,vas,vas,419.3796407314411
264,for,for,419.3796407314411
265,haciendo,haciendo,419.3796407314411
